תאריך,מאושפזים,אחוז נשים מאושפזות,גיל ממוצע מאושפזים,סטיית תקן גיל מאושפזים,מונשמים,אחוז נשים מונשמות,גיל ממוצע מונשמים,סטיית תקן גיל מונשמים,חולים קל,אחוז נשים חולות קל,גיל ממוצע חולים קל,סטיית תקן גיל חולים קל,חולים בינוני,אחוז נשים חולות בינוני,גיל ממוצע חולים בינוני,סטיית תקן גיל חולים בינוני,חולים קשה,אחוז נשים חולות קשה,גיל ממוצע חולים קשה,סטיית תקן גיל חולים קשה,חולים קשה מצטבר
11/03/2020,79,36.7,48,17.9,<15,20,64,15,72,37.5,47,17.4,NULL,NULL,NULL,NULL,<15,33.3,67,15.8,<15
12/03/2020,102,40.2,50,18.1,<15,20,64,15,95,41.1,49,17.8,NULL,NULL,NULL,NULL,<15,33.3,67,15.8,<15
13/03/2020,120,39.2,50,18.2,<15,20,64,15,109,39.4,48,17.5,<15,40,68,17.1,<15,33.3,67,15.8,<15
14/03/2020,158,41.1,48,18.4,<15,0,70,6.8,148,41.9,46,17.5,<15,40,68,17.1,<15,20,77,10,<15
15/03/2020,197,44.2,47,18.7,<15,20,74,7.3,182,44.5,45,17.5,<15,42.9,62,16.5,<15,37.5,79,8.9,<15
16/03/2020,217,43.8,47,18.8,<15,16.7,75,6.8,201,44.3,45,17.8,<15,50,59,16.2,<15,30,78,8.4,<15
17/03/2020,249,44.2,47,19.2,<15,16.7,75,6.8,231,45,46,18.4,<15,42.9,56,16.7,<15,27.3,77,8.7,<15
18/03/2020,296,42.6,47,19,<15,16.7,75,6.8,271,43.9,45,18.2,<15,25,59,14.9,<15,30.8,76,9.3,15
19/03/2020,285,41.8,48,19.6,<15,36.4,70,12.8,255,42.7,46,18.8,<15,25,61,13.8,18,38.9,73,12.4,20
20/03/2020,278,42.4,50,19.3,<15,36.4,70,12.8,243,43.6,48,18.9,15,26.7,59,12.6,20,40,71,12,23
21/03/2020,269,41.6,52,19.4,<15,35.7,69,12.4,225,43.1,49,19.3,21,28.6,61,11.5,23,39.1,71,12.9,27
22/03/2020,317,42.3,52,20,21,23.8,66,13.9,252,45.6,49,19.3,32,28.1,65,14,33,30.3,71,14.5,37
23/03/2020,341,42.5,54,20.1,22,27.3,69,12,267,44.6,50,19.4,36,33.3,67,14.8,38,36.8,73,12.7,43
24/03/2020,383,39.9,55,20.4,24,20.8,67,18.5,294,43.2,50,19.9,48,29.2,66,13.7,41,29.3,70,17.7,49
25/03/2020,403,39,55,20.1,26,26.9,65,19.5,305,42.3,51,19.7,53,26.4,65,13.4,45,31.1,70,18.5,54
26/03/2020,452,39.6,55,19.9,29,24.1,63,18.4,336,43.2,51,19.9,66,31.8,64,14.2,50,26,66,18.1,63
27/03/2020,488,39.5,56,19.6,35,22.9,61,19.7,360,43.9,53,19.9,70,27.1,64,13.7,58,27.6,65,18.7,73
28/03/2020,480,37.7,57,19.4,39,20.5,62,19.2,340,42.1,53,19.9,78,23.1,63,13.7,62,32.3,66,18.4,78
29/03/2020,503,36.6,57,19.2,48,16.7,63,17.3,350,41.4,54,19.8,81,24.7,63,14.8,72,26.4,65,16.6,91
30/03/2020,584,36.6,58,19.2,52,15.4,66,14.5,406,41.1,55,19.7,98,25.5,63,16.3,80,27.5,67,15.5,101
31/03/2020,643,35.9,58,19,62,16.1,65,14.3,445,39.6,55,19.2,107,29,64,17.5,91,26.4,67,14.7,116
01/04/2020,734,36.2,59,19.2,70,12.9,66,14.9,491,41.5,56,19.7,137,26.3,66,16,106,24.5,68,15.1,136
02/04/2020,786,37.7,60,19.1,76,15.8,66,14.1,537,43,56,19.8,140,26.4,66,16.2,109,25.7,68,14.3,148
